,Unnamed: 0,id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,host_response_time,host_identity_verified,host_response_rate,host_is_superhost,nr_of_bathrooms,bedrooms,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
258,444,931101,5015120,Lisboa,So Vicente,38.71288,-9.12907,4,80,2,103,0.98,1,267,3,2,1,1.0,0,2.0,3.0,7,4.8,4.78,4.86,4.95,4.87,4.84
259,445,933814,5035525,Lisboa,Santa Maria Maior,38.71389,-9.1334,4,75,3,44,0.47,1,162,0,1,1,1.0,1,1.0,2.0,4,4.93,4.93,4.98,5.0,4.95,4.84
260,446,935811,2551693,Lisboa,Misericrdia,38.70932,-9.15131,4,75,2,281,2.66,1,363,24,1,1,1.0,0,1.0,1.0,2,4.76,4.85,4.87,4.95,4.85,4.75
261,452,944662,3519021,Lisboa,Santo Antnio,38.72295,-9.14489,4,79,3,346,3.3,8,0,0,1,1,1.0,0,1.0,1.0,2,4.52,4.54,4.73,4.83,4.61,4.49
262,453,944960,5117829,Lisboa,Estrela,38.70775,-9.16027,2,25,3,76,0.74,4,307,0,4,1,0.17,1,2.0,1.0,2,4.87,4.96,4.96,4.96,4.83,4.87
263,456,945691,3740540,Lisboa,Misericrdia,38.71153,-9.14803,4,45,2,175,1.65,1,233,18,1,1,1.0,0,1.0,2.0,4,4.28,4.04,4.72,4.8,4.94,4.4
264,460,952757,5171813,Lisboa,Avenidas Novas,38.7355,-9.14739,4,110,4,69,0.65,3,103,7,1,1,0.93,0,1.0,1.0,4,4.84,4.83,4.91,4.94,4.66,4.74
265,463,961554,1695029,Lisboa,Santa Maria Maior,38.71179,-9.12488,4,55,3,371,3.51,5,243,7,1,1,1.0,1,1.0,1.0,2,4.75,4.82,4.97,4.97,4.83,4.76
266,464,976954,4511947,Lisboa,Santa Maria Maior,38.70898,-9.13636,4,130,3,390,3.66,2,240,0,3,1,0.5,0,1.0,2.0,4,4.86,4.93,4.8,4.8,4.93,4.81
267,467,987973,780618,Lisboa,Misericrdia,38.71101,-9.14733,4,49,4,413,3.91,4,145,16,1,1,1.0,1,1.0,1.0,3,4.81,4.9,4.93,4.94,4.88,4.76
268,468,990287,5066110,Sintra,Rio de Mouro,38.76509,-9.3434,4,198,5,23,0.23,1,348,3,2,1,1.0,0,4.5,4.0,12,4.87,4.77,4.77,4.86,4.55,4.77
269,470,1006307,5334076,Lisboa,Santo Antnio,38.71701,-9.14389,4,60,3,200,1.91,1,285,12,1,1,1.0,0,2.0,3.0,6,4.58,4.56,4.87,4.84,4.89,4.6
270,471,1013904,1029524,Lisboa,Misericrdia,38.71051,-9.14833,4,74,3,292,2.8,17,332,27,1,1,1.0,0,1.0,4.0,8,4.57,4.62,4.8,4.82,4.81,4.65
271,472,1015159,688914,Lisboa,Misericrdia,38.71386,-9.14464,4,76,2,30,0.28,35,339,2,1,1,1.0,0,1.0,2.0,4,4.77,4.67,4.83,4.87,4.8,4.77
272,473,1015672,6815713,Lisboa,Santa Maria Maior,38.7132,-9.13203,4,42,2,179,1.72,2,277,4,1,1,1.0,0,1.0,1.0,2,4.81,4.89,4.93,4.94,4.78,4.82
273,474,1016061,2971040,Lisboa,Misericrdia,38.71267,-9.14541,4,70,2,149,1.42,10,342,5,1,1,1.0,1,1.0,1.0,2,4.73,4.86,4.86,4.92,4.74,4.75
274,475,1018094,4132554,Lisboa,Arroios,38.72902,-9.14044,4,62,3,85,0.92,2,249,4,2,1,1.0,0,1.0,1.0,4,4.77,4.78,4.94,4.89,4.63,4.73
275,477,1020284,5616439,Cascais,Cascais e Estoril,38.70752,-9.44632,4,195,3,50,0.51,1,89,0,2,1,1.0,0,3.5,4.0,9,4.6,4.54,4.84,4.82,4.39,4.47
276,478,1020660,5617958,Mafra,Ericeira,38.96695,-9.41797,4,150,3,87,0.84,1,267,8,1,1,1.0,1,2.0,3.0,9,4.79,4.79,4.96,4.95,4.93,4.79
277,479,1025583,335614,Lisboa,Santa Maria Maior,38.71006,-9.12872,4,72,4,125,1.23,2,0,1,1,1,1.0,0,1.0,2.0,4,4.46,4.53,4.55,4.62,4.81,4.61
278,483,1050645,5774321,Lisboa,Santa Maria Maior,38.71011,-9.12922,4,98,3,238,2.28,2,262,17,1,1,1.0,1,2.0,4.0,8,4.8,4.9,4.89,4.92,4.87,4.82
279,485,1052466,5795275,Lisboa,Estrela,38.70825,-9.164,4,80,2,335,3.2,1,249,8,1,1,1.0,1,1.0,1.0,4,4.91,4.97,4.96,4.97,4.82,4.89
280,487,1056544,2681397,Lisboa,Santo Antnio,38.7173,-9.14741,4,289,1,251,2.39,30,334,4,1,1,1.0,0,3.0,7.0,16,4.61,4.76,4.79,4.81,4.83,4.69
281,489,1069495,5884168,Lisboa,Misericrdia,38.71332,-9.14579,4,67,2,212,2.03,5,186,0,1,1,1.0,0,1.0,2.0,6,4.64,4.73,4.95,4.94,4.87,4.65
282,490,1071344,3897446,Lisboa,Santa Maria Maior,38.71377,-9.14109,4,92,2,3,0.03,2,363,0,4,1,0.33,0,1.0,3.0,5,2.67,3.0,3.67,3.67,4.33,3.0
283,491,1073166,4043364,Lisboa,Santa Maria Maior,38.71034,-9.14105,4,93,2,464,4.42,23,267,35,1,1,1.0,1,1.0,1.0,3,4.92,4.95,4.95,4.97,4.98,4.85
284,492,1075655,5918228,Lisboa,Santo Antnio,38.71927,-9.14281,4,59,2,216,2.07,7,352,16,1,1,1.0,1,1.0,1.0,3,4.91,4.95,4.98,4.99,4.9,4.86
285,494,1085634,5968047,Lisboa,Misericrdia,38.71055,-9.14538,4,43,1,783,7.5,1,245,59,1,1,1.0,1,1.0,1.0,4,4.85,4.87,4.95,4.95,4.93,4.86
286,496,1090014,5988952,Lourinh,Lourinh e Atalaia,39.26962,-9.33278,4,250,3,4,0.04,2,363,0,3,0,0.5,0,4.0,3.0,8,4.5,4.5,4.75,4.75,4.5,4.25
287,497,1090171,4043364,Lisboa,Santa Maria Maior,38.71206,-9.13991,4,87,2,419,4.05,23,255,33,1,1,1.0,1,1.0,1.0,2,4.95,4.97,4.93,4.95,4.98,4.89
288,498,1091821,5998744,Lisboa,Misericrdia,38.71175,-9.14445,4,53,3,308,2.94,4,348,15,2,1,1.0,1,1.0,1.0,2,4.76,4.88,4.86,4.91,4.88,4.77
289,501,1096537,4160345,Lisboa,Arroios,38.72671,-9.1413,4,120,4,51,0.49,1,356,3,1,1,1.0,1,1.5,4.0,8,5.0,4.84,5.0,4.98,4.58,4.88
290,502,1098546,6036710,Lisboa,Santa Maria Maior,38.71241,-9.12898,4,58,2,241,2.3,1,245,25,1,1,1.0,1,1.0,1.0,2,4.89,4.95,4.94,4.96,4.91,4.84
291,503,1100597,6027176,Lisboa,Olivais,38.77607,-9.1171,2,35,1,315,3.03,1,362,25,2,1,1.0,1,1.0,1.0,2,4.75,4.94,4.77,4.83,4.64,4.73
292,504,1100687,6046508,Lisboa,Santo Antnio,38.72472,-9.14385,4,107,3,50,0.49,1,347,1,1,0,1.0,0,2.0,2.0,4,4.71,4.61,4.84,4.92,4.63,4.63
293,506,1106215,6073728,Cascais,Cascais e Estoril,38.69938,-9.38519,4,80,7,59,0.64,1,294,5,2,1,1.0,0,1.0,2.0,4,4.49,4.39,4.73,4.83,4.56,4.37
294,507,1106913,4043364,Lisboa,Santa Maria Maior,38.71044,-9.13984,4,79,2,440,4.23,23,289,28,1,1,1.0,1,1.0,1.0,2,4.92,4.92,4.91,4.95,4.98,4.87
295,508,1109704,5988892,Lisboa,Santo Antnio,38.72071,-9.14265,4,35,2,304,2.95,1,303,12,1,1,1.0,0,1.0,1.0,2,4.47,4.57,4.88,4.91,4.86,4.54
296,510,1112596,4141894,Torres Vedras,"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",39.10452,-9.2626,4,44,2,56,0.55,6,329,9,1,1,1.0,0,1.0,3.0,6,4.7,4.76,4.82,4.84,4.4,4.53
297,512,1113142,6109250,Lisboa,Alvalade,38.74842,-9.14985,4,135,4,12,0.17,2,325,0,1,0,1.0,0,2.0,2.0,6,4.43,4.71,4.43,4.57,4.57,4.43
298,515,1114716,5920645,Lisboa,So Vicente,38.71338,-9.12958,4,42,3,526,5.05,1,325,26,1,1,1.0,0,1.0,1.0,2,4.88,4.96,4.95,4.96,4.88,4.85
299,516,1116885,6129991,Lisboa,Santa Maria Maior,38.71124,-9.12926,4,40,3,241,2.4,4,160,18,1,1,1.0,1,1.0,1.0,2,4.68,4.71,4.82,4.85,4.89,4.72
300,517,1120763,4235131,Lisboa,Estrela,38.70624,-9.16028,4,110,2,76,0.73,2,69,0,1,1,1.0,1,2.0,3.0,8,4.61,4.67,4.88,4.87,4.51,4.52
301,518,1124000,2903216,Sintra,So Joo das Lampas e Terrugem,38.91949,-9.41869,4,314,2,26,0.26,1,362,1,1,0,1.0,0,2.0,3.0,6,4.54,4.42,4.54,4.75,4.54,4.38
302,519,1126009,4450024,Lisboa,Santa Maria Maior,38.71274,-9.13662,4,120,4,261,2.5,6,61,5,1,1,1.0,1,2.0,3.0,6,4.77,4.78,4.93,4.95,4.89,4.78
303,523,1127505,6185960,Lisboa,Santa Maria Maior,38.71069,-9.12803,4,69,3,262,2.58,1,356,15,1,1,1.0,1,2.0,1.0,4,4.86,4.88,4.94,4.92,4.88,4.84
