,Unnamed: 0,id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,host_response_time,host_identity_verified,host_response_rate,host_is_superhost,nr_of_bathrooms,bedrooms,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
486,860,2117061,989393,Lisboa,Santa Maria Maior,38.71529,-9.14044,4,39,3,352,3.67,2,194,0,1,1,1.0,0,1.5,1.0,2,4.65,4.82,4.88,4.92,4.9,4.67
487,862,2122976,2681397,Lisboa,Misericrdia,38.71024,-9.14533,4,219,1,216,2.25,30,342,11,1,1,1.0,0,2.5,5.0,16,4.58,4.62,4.79,4.79,4.8,4.57
488,864,2135632,10898372,Lisboa,Misericrdia,38.71034,-9.14385,4,90,2,64,0.71,1,263,2,2,1,1.0,1,2.0,2.0,4,4.76,4.68,4.85,4.87,4.9,4.65
489,865,2140785,10690077,Lisboa,Santa Maria Maior,38.71272,-9.12847,4,70,3,124,1.56,1,335,15,1,1,1.0,1,1.0,1.0,4,4.48,4.43,4.62,4.78,4.94,4.52
490,867,2162487,417220,Lisboa,So Vicente,38.71962,-9.1214,4,45,2,51,0.63,1,284,1,1,1,1.0,1,1.0,1.0,4,4.82,4.67,4.9,4.78,4.78,4.67
491,868,2167380,5562989,Lisboa,Arroios,38.71659,-9.13769,4,139,3,24,0.27,5,356,3,1,1,1.0,1,1.0,2.0,4,4.91,4.78,4.95,4.96,4.86,4.86
492,871,2172693,181902,Lisboa,Santa Maria Maior,38.71161,-9.13974,4,158,1,78,0.84,18,280,8,1,1,1.0,1,2.0,3.0,9,4.74,4.86,4.89,4.84,4.95,4.52
493,872,2172762,181902,Lisboa,Santa Maria Maior,38.71161,-9.13974,4,148,1,89,0.96,18,306,5,1,1,1.0,1,2.0,3.0,10,4.7,4.9,4.74,4.74,4.89,4.55
494,873,2179372,10774139,Lisboa,Misericrdia,38.71513,-9.14708,4,87,2,274,2.95,3,187,19,1,1,0.93,0,1.0,2.0,5,4.61,4.69,4.66,4.65,4.84,4.65
495,875,2187115,8649105,Cascais,Carcavelos e Parede,38.68061,-9.32983,4,50,7,47,0.5,1,162,11,1,1,1.0,0,1.0,1.0,3,4.72,4.81,4.96,4.93,4.76,4.65
496,877,2196683,727771,Lisboa,Santa Maria Maior,38.71202,-9.12987,4,65,4,293,3.1,9,275,26,1,1,0.98,1,2.0,1.0,4,4.79,4.89,4.81,4.88,4.9,4.82
497,878,2198042,11212187,Lisboa,Santa Maria Maior,38.70918,-9.13252,4,70,3,78,0.88,1,295,0,3,1,1.0,0,1.0,2.0,4,4.76,4.72,4.87,4.96,4.96,4.76
498,879,2203375,5691663,Lisboa,Santa Maria Maior,38.71144,-9.12818,4,64,2,217,2.28,65,342,8,1,1,1.0,1,1.0,2.0,4,4.84,4.93,4.92,4.82,4.83,4.84
499,880,2203498,4189583,Lisboa,So Vicente,38.71956,-9.1319,4,109,1,397,4.21,10,346,34,1,1,1.0,0,1.0,2.0,4,4.8,4.76,4.79,4.82,4.83,4.68
500,881,2212624,5175791,Cascais,Cascais e Estoril,38.70335,-9.42461,4,110,4,34,0.38,3,214,2,1,1,1.0,0,2.0,2.0,5,4.44,4.61,4.61,4.64,4.79,4.55
501,882,2214778,1392270,Lisboa,Estrela,38.70882,-9.15407,4,85,2,136,1.44,1,39,8,1,1,1.0,1,2.0,3.0,5,4.75,4.8,4.83,4.86,4.73,4.78
502,885,2226934,11364286,Lisboa,Alvalade,38.7507,-9.13511,4,56,3,78,0.89,1,176,12,1,1,1.0,0,1.0,2.0,6,4.86,4.91,4.96,4.95,4.7,4.73
503,890,2252415,6815713,Lisboa,Santa Maria Maior,38.71293,-9.13047,4,47,2,131,1.41,2,268,10,1,1,1.0,0,1.0,1.0,3,4.71,4.79,4.95,4.94,4.74,4.68
504,893,2307863,11786589,Lisboa,Santo Antnio,38.7201,-9.14417,4,112,4,243,2.59,2,204,3,1,1,1.0,1,1.0,2.0,5,4.88,4.92,4.85,4.84,4.82,4.83
505,894,2309835,2681397,Lisboa,Santo Antnio,38.71706,-9.14732,4,322,2,212,2.22,30,336,2,1,1,1.0,0,3.0,7.0,16,4.72,4.74,4.86,4.89,4.82,4.62
506,896,2327858,11892078,Lisboa,Avenidas Novas,38.72995,-9.14862,4,94,2,118,2.0,3,214,13,1,1,1.0,1,2.0,2.0,5,4.86,4.88,4.91,4.95,4.82,4.88
507,897,2329059,7281321,Lisboa,Misericrdia,38.71332,-9.14306,4,93,3,29,0.42,3,323,0,1,1,1.0,0,1.0,1.0,4,4.83,4.9,5.0,5.0,4.83,4.9
508,900,2336040,2396258,Lisboa,Santa Maria Maior,38.71254,-9.12479,4,235,2,95,1.05,15,338,5,1,1,1.0,0,3.0,3.0,8,4.78,4.79,4.94,4.95,4.89,4.63
509,901,2336193,3455628,Lisboa,Arroios,38.71647,-9.13861,4,54,2,329,3.53,2,324,34,1,1,1.0,0,1.0,2.0,5,4.59,4.65,4.81,4.86,4.74,4.68
510,902,2338823,997803,Lisboa,Marvila,38.74843,-9.10825,4,52,3,40,0.44,1,1,6,2,1,1.0,0,1.0,2.0,4,4.63,4.7,4.83,4.83,4.05,4.56
511,903,2343839,11969316,Lisboa,Campo de Ourique,38.71591,-9.16575,4,42,4,156,1.69,1,300,0,3,1,1.0,1,1.0,2.0,4,4.76,4.87,4.93,4.92,4.75,4.83
512,906,2364547,5894536,Lisboa,Santa Maria Maior,38.71267,-9.12554,4,60,3,146,1.56,4,362,0,1,1,1.0,0,1.0,1.0,2,4.66,4.83,4.88,4.83,4.63,4.64
513,908,2365159,5575715,Lisboa,So Vicente,38.71386,-9.12867,4,69,5,101,1.09,1,148,14,1,1,1.0,1,1.0,2.0,4,4.58,4.63,4.93,4.96,4.81,4.64
514,910,2368850,136230,Lisboa,Misericrdia,38.71034,-9.15081,4,100,2,5,0.06,8,249,0,1,1,1.0,0,1.0,3.0,6,3.4,4.75,3.4,2.6,4.5,3.6
515,914,2390982,12211130,Lisboa,Misericrdia,38.70677,-9.14388,2,29,1,329,3.47,1,282,15,1,1,0.73,0,1.0,1.0,2,4.51,4.77,4.76,4.65,4.86,4.63
516,916,2394760,4189583,Lisboa,Santa Maria Maior,38.7125,-9.14127,4,132,1,226,2.38,10,341,24,1,1,1.0,0,1.0,3.0,6,4.8,4.86,4.82,4.83,4.93,4.77
517,919,2400599,12266495,Lisboa,Santa Maria Maior,38.70828,-9.13025,2,35,3,223,2.4,1,130,0,1,1,1.0,0,2.0,1.0,3,4.69,4.8,4.93,4.89,4.85,4.71
518,921,2419436,12366021,Cascais,Carcavelos e Parede,38.68657,-9.35012,4,85,3,72,0.78,1,278,11,1,1,1.0,1,3.0,2.0,6,4.82,4.9,4.91,4.97,4.83,4.75
519,922,2424638,12391958,Lisboa,Arroios,38.715752,-9.138721,4,60,2,31,0.33,1,292,5,1,1,1.0,0,1.0,1.0,2,4.87,4.81,4.97,5.0,4.97,4.77
520,924,2428199,12400145,Lisboa,Misericrdia,38.71372,-9.145,4,50,2,232,2.49,5,43,28,1,1,1.0,0,1.0,2.0,4,4.62,4.63,4.79,4.89,4.65,4.72
521,926,2437087,2090008,Mafra,Ericeira,38.96853,-9.41771,4,65,6,44,0.49,4,311,2,1,1,1.0,1,1.0,2.0,5,4.77,4.89,4.81,4.93,4.79,4.81
522,927,2446667,10302645,Lisboa,Santa Maria Maior,38.70953,-9.13774,4,72,2,53,0.82,2,292,3,1,1,1.0,0,1.0,1.0,4,4.81,4.91,4.68,4.75,4.98,4.66
523,929,2452514,12539741,Lisboa,Marvila,38.75856,-9.12057,2,21,1,62,0.67,3,343,0,4,1,0.0,0,1.0,1.0,2,4.25,4.69,4.57,4.69,4.0,4.37
524,930,2454111,12548680,Lisboa,Santa Maria Maior,38.71317,-9.13477,4,209,3,110,1.19,1,243,7,1,1,1.0,1,3.5,3.0,6,4.9,4.84,4.91,4.94,4.95,4.71
525,931,2455699,12558565,Cadaval,Lamas e Cercal,39.1961,-9.0647,4,49,6,74,0.81,4,313,8,1,1,1.0,1,2.0,4.0,8,4.7,4.58,4.96,4.89,4.76,4.82
526,933,2461109,12584679,Lisboa,Santa Maria Maior,38.71137,-9.13315,4,170,3,216,2.31,1,159,0,2,1,1.0,1,2.0,4.0,8,4.93,4.96,4.96,4.94,4.98,4.86
527,934,2467437,8251644,Lisboa,Santo Antnio,38.72394,-9.14851,4,201,2,5,0.07,2,350,1,1,1,1.0,0,2.0,3.0,8,4.8,4.6,5.0,4.8,4.8,4.8
528,935,2471985,12641852,Lisboa,Santa Maria Maior,38.71063,-9.13418,4,59,2,435,4.64,1,337,20,1,1,1.0,1,1.0,1.0,2,4.92,4.93,4.96,4.96,4.95,4.87
529,936,2475037,1270688,Cascais,Cascais e Estoril,38.69682,-9.42584,2,30,1,98,1.15,5,275,12,1,1,0.94,0,1.0,1.0,2,4.44,4.49,4.81,4.84,4.85,4.56
530,937,2476394,10379875,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79652,-9.39206,4,59,1,12,0.16,16,231,6,1,1,0.96,0,1.0,1.0,3,4.67,4.83,4.92,4.83,4.92,4.64
531,940,2502266,6925599,Lisboa,So Vicente,38.7205,-9.13078,4,42,2,49,0.55,3,252,3,2,1,1.0,0,1.0,1.0,4,4.0,4.26,4.65,4.7,4.41,4.09
532,941,2502831,12811685,Lisboa,Arroios,38.72389,-9.13321,4,100,3,36,0.39,2,342,0,1,1,1.0,0,2.0,3.0,7,4.69,4.56,4.78,4.92,4.58,4.72
533,943,2514197,12869019,Lisboa,So Vicente,38.71362,-9.12755,4,50,2,464,4.98,3,348,23,1,1,1.0,1,1.0,1.0,2,4.81,4.95,4.92,4.93,4.86,4.78
534,945,2518091,4217763,Lisboa,Santa Maria Maior,38.71091,-9.14236,2,141,2,49,0.53,2,350,1,1,1,1.0,0,1.0,1.0,2,4.57,4.9,4.76,4.73,4.96,4.62
535,948,2535496,5680473,Lisboa,Santa Maria Maior,38.713,-9.12695,4,50,2,341,3.64,2,71,32,1,1,1.0,1,1.0,1.0,2,4.82,4.82,4.89,4.91,4.85,4.8
537,951,2543183,1695029,Lisboa,Santa Maria Maior,38.71435,-9.13585,4,65,3,333,3.6,5,194,6,1,1,1.0,1,1.0,1.0,3,4.84,4.85,4.99,4.98,4.91,4.84
538,954,2545405,7437890,Cascais,Cascais e Estoril,38.69805,-9.42218,4,100,4,54,0.6,3,217,9,1,1,1.0,1,1.0,2.0,6,4.81,4.77,4.91,4.94,4.85,4.64
539,955,2546001,3177307,Lisboa,So Vicente,38.71735,-9.12798,4,40,2,230,2.5,4,314,0,2,1,1.0,0,1.0,1.0,2,4.78,4.84,4.91,4.94,4.79,4.77
540,957,2560291,2774672,Mafra,Ericeira,38.96349,-9.41818,4,155,4,15,0.19,9,285,10,1,1,1.0,1,1.0,3.0,6,4.73,4.29,5.0,5.0,5.0,4.53
541,959,2561844,7146174,Lisboa,Santa Maria Maior,38.71013,-9.13259,4,79,3,10,0.11,14,146,0,1,0,1.0,0,2.0,3.0,6,4.4,4.5,4.8,4.7,4.7,4.6
542,960,2561894,7146174,Lisboa,Santa Maria Maior,38.71042,-9.13267,4,65,3,5,0.06,14,147,0,1,0,1.0,0,2.0,2.0,4,4.2,3.4,4.8,5.0,5.0,4.8
543,961,2565601,10302645,Lisboa,Santa Maria Maior,38.71115,-9.13609,4,60,4,48,0.72,2,314,7,1,1,1.0,0,1.0,1.0,5,4.69,4.69,4.83,4.8,5.0,4.65
544,963,2581483,13219688,Lisboa,Misericrdia,38.70922,-9.15216,4,59,1,287,3.09,4,196,30,1,1,1.0,0,1.0,3.0,6,4.54,4.69,4.79,4.85,4.7,4.61
545,964,2582274,13222821,Lisboa,Arroios,38.71675,-9.13763,4,62,2,286,3.09,4,183,2,1,1,1.0,1,1.0,2.0,4,4.8,4.87,4.92,4.96,4.73,4.75
546,967,2590924,3534441,Lisboa,Santo Antnio,38.72071,-9.15418,4,90,3,204,2.2,2,262,1,1,1,1.0,1,1.0,2.0,4,4.93,4.96,4.96,4.98,4.86,4.87
547,968,2593852,12878313,Lisboa,Arroios,38.73466,-9.13557,4,84,2,24,0.26,3,355,1,2,1,1.0,0,1.0,2.0,4,4.79,4.88,4.96,5.0,4.42,4.63
548,970,2606042,5918228,Lisboa,Santo Antnio,38.71927,-9.14281,4,72,2,144,1.55,7,348,13,1,1,1.0,1,2.0,1.0,4,4.94,4.96,4.98,4.99,4.92,4.87
549,971,2607296,7437890,Cascais,Cascais e Estoril,38.69908,-9.42233,4,91,3,55,0.62,3,318,7,1,1,1.0,1,1.0,2.0,6,4.77,4.64,4.79,4.83,4.83,4.64
550,973,2612002,10379875,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79619,-9.39231,4,59,1,33,0.37,16,296,6,1,1,0.96,0,1.0,1.0,2,4.67,4.88,4.67,4.73,4.94,4.64
552,976,2612392,10379875,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79622,-9.39226,4,59,1,66,0.72,16,288,27,1,1,0.96,0,1.0,1.0,2,4.56,4.79,4.64,4.71,4.94,4.59
553,977,2612566,10379875,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79681,-9.39114,4,71,1,38,0.42,16,0,10,1,1,0.96,0,2.0,3.0,4,4.42,4.68,4.58,4.61,4.79,4.42
554,985,2647029,13553208,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80042,-9.4214,4,90,4,20,0.23,2,300,5,1,1,1.0,0,1.0,2.0,4,4.5,4.47,5.0,5.0,4.74,4.45
555,986,2647545,13555244,Lisboa,Penha de Frana,38.73191,-9.1315,4,58,3,257,2.76,4,0,0,1,1,0.8,0,2.0,2.0,4,4.68,4.87,4.86,4.89,4.64,4.64
556,988,2650419,13567546,Lisboa,Santa Maria Maior,38.71075,-9.1367,4,72,2,281,3.08,22,284,11,1,1,1.0,1,2.0,3.0,6,4.5,4.67,4.88,4.9,4.89,4.61
557,989,2655671,13560399,Lisboa,Misericrdia,38.71265,-9.1521,4,49,5,137,1.48,1,269,5,2,1,1.0,0,1.0,1.0,2,4.76,4.85,4.89,4.91,4.64,4.67
558,990,2656016,13567546,Lisboa,Santa Maria Maior,38.71048,-9.13844,4,89,2,193,2.09,22,0,0,1,1,1.0,1,2.0,2.0,6,4.57,4.68,4.82,4.87,4.92,4.61
559,991,2656084,5684839,Lisboa,Santo Antnio,38.71895,-9.14952,4,44,3,289,3.11,1,230,23,1,0,1.0,1,1.0,1.0,3,4.89,4.94,4.95,4.94,4.9,4.89
560,992,2663575,9106446,Sintra,Colares,38.81429,-9.47693,4,95,3,63,0.69,3,343,0,2,1,1.0,0,1.0,1.0,4,4.43,4.49,4.79,4.81,4.76,4.37
561,994,2674964,13695535,Lisboa,Santa Maria Maior,38.71328,-9.14227,4,68,2,227,2.53,2,329,10,1,1,1.0,1,1.0,2.0,5,4.82,4.88,4.93,4.9,4.93,4.79
562,995,2675912,7255022,Lisboa,Santa Maria Maior,38.71381,-9.13553,4,53,2,254,2.73,1,233,29,1,0,1.0,0,1.0,2.0,4,4.71,4.85,4.93,4.95,4.89,4.7
563,996,2676365,13702446,Lisboa,Misericrdia,38.70961,-9.15047,4,45,1,258,2.77,1,323,9,1,0,1.0,1,1.0,1.0,4,4.58,4.79,4.85,4.86,4.72,4.68
564,997,2676889,11924532,Lisboa,So Vicente,38.71549,-9.12278,4,50,3,203,2.19,6,222,0,2,1,0.87,0,1.0,2.0,5,4.52,4.74,4.8,4.85,4.74,4.58
565,1000,2684458,4341539,Lisboa,Misericrdia,38.71467,-9.14716,4,50,30,29,0.31,9,277,2,1,1,1.0,0,1.0,2.0,2,4.62,4.71,4.86,4.97,4.93,4.54
566,1001,2685942,8251644,Lisboa,Santo Antnio,38.72511,-9.147,4,292,2,49,0.54,2,341,0,1,1,1.0,0,3.5,5.0,14,4.71,4.79,4.85,4.87,4.64,4.83
567,1002,2691697,13775858,Lisboa,Santa Maria Maior,38.71653,-9.13287,4,45,3,82,1.03,1,157,2,2,1,1.0,1,1.0,1.0,1,4.56,4.8,4.9,4.96,4.58,4.65
568,1003,2700537,4341539,Lisboa,Misericrdia,38.71626,-9.14778,4,50,30,20,0.22,9,315,3,1,1,1.0,0,1.0,1.0,2,4.6,4.7,4.8,4.8,4.9,4.5
569,1004,2700557,13819369,Sintra,Colares,38.81106,-9.45799,4,220,5,17,0.19,1,365,2,3,0,1.0,0,2.0,2.0,5,4.88,5.0,4.94,5.0,4.53,4.82
570,1005,2700676,4341539,Lisboa,Misericrdia,38.71435,-9.14887,4,50,30,18,0.19,9,284,3,1,1,1.0,0,1.0,2.0,2,4.61,4.83,5.0,4.94,4.94,4.33
571,1007,2704476,33252155,Lisboa,Misericrdia,38.71271,-9.14379,4,103,3,34,0.37,13,356,0,1,1,0.92,0,1.0,2.0,6,4.5,4.79,4.88,4.94,4.59,4.62
572,1009,2707858,1654712,Lisboa,Arroios,38.71917,-9.1372,4,91,3,117,1.26,6,247,0,1,1,1.0,0,2.0,3.0,7,4.6,4.83,4.72,4.61,4.44,4.54
573,1010,2712111,1654712,Lisboa,Arroios,38.71917,-9.1372,4,85,3,98,1.05,6,189,0,1,1,1.0,0,1.0,2.0,5,4.55,4.67,4.79,4.76,4.27,4.48
574,1012,2715022,2372087,Lisboa,Arroios,38.73508,-9.14201,4,79,3,42,0.5,58,221,8,1,1,1.0,1,1.0,1.0,3,4.48,4.67,4.86,4.88,4.88,4.45
575,1013,2716828,4189583,Lisboa,Arroios,38.7194,-9.13347,4,97,1,161,1.74,10,349,5,1,1,1.0,0,1.0,2.0,4,4.73,4.77,4.78,4.82,4.75,4.62
576,1018,2735383,13997379,Cascais,Cascais e Estoril,38.69943,-9.38052,4,70,4,17,0.19,1,253,5,3,1,1.0,0,1.0,1.0,2,4.59,4.88,4.94,5.0,4.81,4.81
577,1020,2740951,2136909,Sintra,Colares,38.80698,-9.47245,4,75,2,248,3.08,4,314,29,1,1,1.0,0,1.0,1.0,2,4.8,4.87,4.88,4.88,4.74,4.74
578,1021,2752463,14079161,Lisboa,Santo Antnio,38.71667,-9.14353,4,80,3,112,1.2,3,0,0,1,1,1.0,1,1.0,2.0,3,4.93,4.93,4.99,4.99,4.88,4.84
580,1027,2759584,1416183,Lisboa,Santa Maria Maior,38.71292,-9.14217,4,99,3,106,1.14,13,149,12,2,1,1.0,1,1.0,2.0,4,4.87,4.93,4.97,4.98,4.97,4.81
581,1029,2767873,5988952,Lisboa,Alvalade,38.75332,-9.16693,2,75,2,1,0.02,2,364,0,3,0,0.5,0,1.0,1.0,3,5.0,5.0,5.0,5.0,4.0,4.0
582,1031,2783329,4419386,Lisboa,So Vicente,38.71345,-9.1256,4,85,3,180,1.99,5,38,3,2,1,0.9,0,1.0,1.0,2,4.91,4.92,4.92,4.94,4.89,4.8
583,1032,2783445,14243081,Lisboa,Santa Maria Maior,38.70942,-9.13894,4,47,3,201,2.16,2,286,3,2,1,1.0,0,1.0,1.0,4,4.6,4.68,4.78,4.76,4.88,4.58
584,1033,2784611,14243164,Lisboa,Santa Maria Maior,38.71249,-9.14188,4,55,7,125,1.35,1,314,7,1,1,1.0,1,1.0,1.0,2,4.71,4.88,4.89,4.94,4.72,4.64
585,1034,2790464,3951314,Lisboa,Arroios,38.7229,-9.13464,4,53,2,365,3.95,2,336,21,1,1,1.0,0,1.5,1.0,4,4.46,4.45,4.81,4.79,4.52,4.52
586,1035,2792438,33252155,Lisboa,Santa Maria Maior,38.71358,-9.14051,4,156,3,19,0.2,13,342,0,1,1,0.92,0,1.5,3.0,6,4.53,4.84,4.89,4.89,4.79,4.53
587,1036,2793617,13460944,Lisboa,Santa Maria Maior,38.71269,-9.12623,4,75,2,16,0.17,6,322,4,1,1,1.0,1,1.0,1.0,4,4.73,4.93,4.69,4.93,4.85,4.43
588,1038,2797146,14164030,Mafra,Ericeira,38.96595,-9.4184,4,65,5,7,0.09,1,342,2,3,1,1.0,0,2.0,2.0,4,4.71,4.86,5.0,5.0,5.0,4.86
589,1039,2797699,14310777,Mafra,Ericeira,38.97023,-9.41561,2,35,15,4,0.06,4,364,2,3,1,0.7,0,1.0,1.0,2,4.25,5.0,4.0,4.0,4.75,3.75
590,1041,2802466,13460944,Lisboa,Santa Maria Maior,38.71255,-9.12459,4,115,2,9,0.1,6,328,0,1,1,1.0,1,1.0,1.0,7,4.56,4.89,4.78,4.56,4.89,4.56
591,1042,2803293,13460944,Lisboa,Santa Maria Maior,38.71284,-9.12598,4,125,2,2,0.04,6,339,0,1,1,1.0,1,1.0,1.0,6,5.0,5.0,5.0,5.0,5.0,5.0
592,1043,2806346,13460944,Lisboa,Santa Maria Maior,38.71274,-9.12607,4,80,2,5,0.06,6,333,3,1,1,1.0,1,1.0,1.0,4,4.6,4.6,4.5,4.75,5.0,5.0
593,1044,2806399,14355158,Lisboa,Campo de Ourique,38.71773,-9.16217,4,56,3,70,0.76,1,296,14,3,1,1.0,0,1.0,1.0,2,4.77,4.57,4.94,4.87,4.68,4.72
594,1046,2809265,13460944,Lisboa,Santa Maria Maior,38.71265,-9.12571,4,95,2,7,0.08,6,349,0,1,1,1.0,1,1.0,1.0,4,3.86,4.29,3.86,4.29,4.43,3.43
595,1048,2810284,13460944,Lisboa,Santa Maria Maior,38.71301,-9.12485,4,115,2,4,0.05,6,334,2,1,1,1.0,1,1.0,2.0,6,5.0,5.0,5.0,5.0,5.0,5.0
596,1051,2840594,2476571,Lisboa,Santa Maria Maior,38.71065,-9.13608,4,66,2,256,2.77,11,204,22,1,1,1.0,0,1.0,2.0,6,4.37,4.57,4.64,4.71,4.84,4.42
597,1052,2840997,1270688,Cascais,Cascais e Estoril,38.69677,-9.42289,4,44,3,36,0.4,5,257,10,1,1,0.94,0,1.0,2.0,4,4.26,3.89,4.66,4.71,4.89,4.31
598,1054,2842357,14538441,Mafra,Carvoeira,38.95187,-9.41323,4,90,4,25,0.32,1,19,3,1,0,1.0,0,1.0,2.0,4,4.54,4.67,4.79,4.71,4.42,4.5
599,1055,2847440,8298637,Lisboa,Santa Maria Maior,38.70994,-9.13081,4,150,1,200,2.16,3,304,6,1,1,0.92,1,2.0,2.0,4,4.84,4.83,4.79,4.73,4.91,4.78
600,1058,2869544,872205,Lisboa,Misericrdia,38.71421,-9.15133,2,30,3,105,1.15,28,161,1,3,1,1.0,0,2.0,1.0,2,4.62,4.68,4.74,4.69,4.7,4.7
601,1059,2869627,3104922,Lisboa,Misericrdia,38.71403,-9.14985,4,90,3,155,1.68,1,308,15,1,1,1.0,0,2.0,4.0,8,4.37,4.0,4.75,4.66,4.57,4.46
602,1060,2875357,14696745,Lisboa,Santa Maria Maior,38.71164,-9.14196,4,88,3,155,1.72,2,338,16,1,1,1.0,1,1.0,2.0,4,4.92,4.99,4.97,4.97,4.97,4.86
603,1064,2907184,9451016,Lourinh,Lourinh e Atalaia,39.26593,-9.33448,4,55,5,97,1.09,1,168,4,1,1,1.0,0,1.0,2.0,6,4.71,4.63,4.9,4.98,4.66,4.63
604,1065,2907606,14854570,Sintra,So Joo das Lampas e Terrugem,38.84316,-9.43372,4,68,3,159,1.75,7,336,9,1,1,1.0,1,1.0,2.0,4,4.66,4.7,4.75,4.8,4.69,4.65
605,1068,2913224,14833873,Mafra,Ericeira,38.96141,-9.41531,4,100,4,6,1.45,1,240,6,1,1,1.0,0,1.0,2.0,5,4.67,4.67,4.83,5.0,4.67,4.83
606,1069,2917966,14847119,Lisboa,Santo Antnio,38.71597,-9.14567,4,70,2,352,3.83,2,224,13,2,1,1.0,1,1.0,3.0,6,4.78,4.85,4.71,4.86,4.81,4.79
607,1070,2918316,8129697,Lisboa,So Vicente,38.71842,-9.13165,4,130,5,27,0.3,2,0,0,3,1,1.0,1,2.0,3.0,6,4.81,4.96,4.85,4.81,4.67,4.65
608,1072,2922866,14402857,Lisboa,Santa Maria Maior,38.7103,-9.13623,4,121,2,92,1.0,4,298,20,1,1,1.0,1,3.5,4.0,8,4.65,4.53,4.96,4.93,4.92,4.58
609,1074,2930702,13555244,Lisboa,Arroios,38.73153,-9.1329,4,58,3,268,2.9,4,0,0,1,1,0.8,0,2.0,2.0,4,4.68,4.86,4.88,4.84,4.58,4.69
610,1076,2932806,14975314,Mafra,Ericeira,38.9684,-9.40906,4,50,7,1,0.01,1,338,0,1,1,1.0,0,2.0,2.0,5,4.0,4.0,4.0,4.0,4.0,4.0
611,1077,2940051,13750296,Lisboa,Santa Maria Maior,38.7119,-9.13071,4,126,3,264,2.91,16,267,19,1,1,1.0,1,2.0,3.0,8,4.8,4.91,4.9,4.93,4.92,4.78
612,1080,2962872,15120803,Mafra,Ericeira,38.98541,-9.41473,2,39,4,8,0.09,7,178,2,1,1,1.0,0,1.0,1.0,3,4.88,4.75,5.0,5.0,4.63,4.5
613,1084,2965623,14633439,Lisboa,Estrela,38.70809,-9.15494,4,103,4,37,0.42,1,187,1,2,1,1.0,0,2.0,2.0,4,4.97,4.97,4.97,4.95,4.92,4.86
614,1087,2968200,3177307,Lisboa,So Vicente,38.71933,-9.13118,4,43,2,216,2.35,4,38,0,2,1,1.0,0,1.0,1.0,2,4.79,4.86,4.93,4.92,4.78,4.71
615,1090,2972233,1029524,Lisboa,Misericrdia,38.7115,-9.14621,4,77,3,290,3.17,17,326,40,1,1,1.0,0,1.0,3.0,6,4.76,4.76,4.76,4.85,4.94,4.74
616,1105,2995142,3665015,Lisboa,So Vicente,38.71794,-9.12314,4,35,2,227,2.48,3,254,8,1,1,1.0,0,1.0,1.0,2,4.26,4.45,4.64,4.66,4.28,4.4
617,1112,3009285,9021724,Lisboa,Santa Maria Maior,38.71287,-9.13683,2,39,2,90,1.43,2,231,2,1,1,0.9,0,1.0,1.0,2,4.92,4.89,4.97,4.96,4.99,4.93
618,1114,3012490,15351613,Lisboa,Benfica,38.75017,-9.1921,4,110,3,117,2.04,3,0,8,2,1,0.8,0,2.0,2.0,5,4.84,4.74,4.82,4.92,4.84,4.78
619,1115,3013088,4383462,Lisboa,Misericrdia,38.70899,-9.15118,4,64,3,471,5.13,1,82,48,1,1,1.0,1,1.0,1.0,2,4.93,4.95,4.94,4.98,4.84,4.88
620,1116,3014292,14896962,Sintra,Colares,38.79326,-9.45622,4,60,2,15,0.27,2,340,4,1,0,0.9,0,2.0,3.0,5,4.67,4.87,4.33,4.4,4.6,4.47
621,1117,3016919,11926451,Lisboa,Belm,38.69776,-9.20234,4,50,2,27,0.34,10,0,0,3,1,0.75,0,1.0,3.0,6,4.33,4.48,4.69,4.77,4.58,4.42
622,1120,3031739,15441831,Cascais,Cascais e Estoril,38.6966,-9.44394,4,68,3,15,0.17,1,238,0,2,1,1.0,0,1.0,2.0,4,4.79,5.0,4.71,4.79,4.62,4.57
623,1121,3031831,12635550,Cascais,Cascais e Estoril,38.69271,-9.42735,4,130,2,16,0.18,2,257,0,1,1,1.0,0,1.0,1.0,4,4.69,4.81,4.81,4.81,4.75,4.69
624,1122,3031901,3250665,Lisboa,Misericrdia,38.71175,-9.14378,4,55,2,208,2.28,12,329,5,1,1,1.0,0,1.0,2.0,6,4.47,4.68,4.76,4.88,4.91,4.47
625,1128,3041576,15486693,Sintra,Colares,38.80023,-9.44727,2,21,2,291,3.19,1,335,15,2,0,1.0,1,1.0,1.0,2,4.72,4.55,4.87,4.91,4.69,4.74
626,1132,3042444,15491838,Lisboa,Alvalade,38.75093,-9.14211,4,100,28,14,0.16,3,0,1,1,1,1.0,1,1.0,2.0,4,4.71,4.79,4.93,4.93,4.57,4.5
