	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	host_response_time	host_identity_verified	host_response_rate	host_is_superhost	nr_of_bathrooms	bedrooms	accommodates	review_scores_rating	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value
1	25659	107347	Lisboa	Santa Maria Maior	38.71241	-9.12706	4	50	2	127	1.37	1	325	14	1	1	1.0	1	1.0	1.0	3	4.81	4.88	4.97	4.97	4.88	4.82
2	29248	125768	Lisboa	Santa Maria Maior	38.71082	-9.12719	4	60	5	337	2.53	1	190	13	2	1	1.0	0	1.0	1.0	4	4.56	4.38	4.65	4.74	4.82	4.61
3	29396	126415	Lisboa	Santa Maria Maior	38.71156	-9.12987	4	60	2	299	2.57	1	302	40	1	1	1.0	1	1.0	1.0	4	4.8	4.82	4.88	4.91	4.88	4.75
4	29720	128075	Lisboa	Estrela	38.71108	-9.15979	4	957	2	64	0.48	2	248	9	3	1	0.96	0	8.0	9.0	16	4.92	4.84	4.97	4.97	4.83	4.6
5	29915	128890	Lisboa	Avenidas Novas	38.74571	-9.15264	4	50	5	46	0.33	1	228	8	2	1	0.9	1	1.0	1.0	3	4.68	4.88	4.79	4.74	4.67	4.72
8	42519	136230	Lisboa	Misericrdia	38.71062	-9.149	4	50	1	120	0.97	8	161	6	1	1	1.0	0	1.0	1.0	2	4.44	4.62	4.61	4.48	4.75	4.5
9	48025	218778	Lisboa	Misericrdia	38.71195	-9.14463	4	65	5	18	0.14	6	261	0	2	1	1.0	1	1.5	1.0	2	4.24	4.35	4.71	4.76	4.59	4.12
10	48058	218990	Cascais	Cascais e Estoril	38.6965	-9.42571	4	80	5	33	0.41	1	246	0	1	1	1.0	0	1.0	1.0	4	4.94	4.69	4.91	4.91	4.97	4.88
13	50108	229376	Lisboa	Estrela	38.70388	-9.16546	4	75	2	37	0.3	2	0	0	1	1	0.71	0	2.0	1.0	4	4.52	4.43	4.62	4.7	4.52	4.55
15	56906	270457	Lisboa	So Vicente	38.71851	-9.12439	4	47	3	150	1.13	7	345	7	1	1	1.0	0	1.0	1.0	2	4.62	4.63	4.97	4.97	4.49	4.55
17	83933	335614	Lisboa	So Vicente	38.719852	-9.129011	4	57	2	220	1.75	2	162	8	1	1	1.0	0	1.0	1.0	2	4.44	4.31	4.64	4.7	4.66	4.37
18	84599	181902	Lisboa	Santa Maria Maior	38.7106	-9.13689	4	137	1	74	0.64	18	333	4	1	1	1.0	1	1.0	2.0	5	4.65	4.93	4.72	4.75	4.89	4.61
20	93829	183877	Lisboa	So Vicente	38.71722	-9.13019	4	51	1	59	0.64	1	222	0	1	1	1.0	0	1.0	1.0	2	4.49	4.68	4.85	4.9	4.83	4.46
23	103252	538753	Lisboa	So Vicente	38.71825	-9.12902	4	60	2	73	1.11	7	0	15	1	1	1.0	1	1.0	1.0	4	4.73	4.89	4.97	4.96	4.85	4.64
26	119120	387186	Lisboa	Estrela	38.70927	-9.16122	4	68	3	249	1.98	6	38	14	1	1	1.0	1	1.0	2.0	4	4.87	4.91	4.95	4.97	4.72	4.81
30	125848	624278	Lisboa	So Vicente	38.71478	-9.1241	4	69	3	143	1.22	4	282	0	1	1	1.0	1	1.0	1.0	3	4.37	4.42	4.55	4.65	4.8	4.42
31	126646	628095	Lisboa	Penha de Frana	38.72983	-9.13183	2	26	1	292	3.27	3	87	36	1	1	1.0	1	1.0	1.0	3	4.57	4.69	4.81	4.83	4.49	4.64
35	133645	656138	Lisboa	Santa Maria Maior	38.71091	-9.13251	4	49	2	286	2.28	2	356	27	1	1	1.0	1	1.0	1.0	3	4.7	4.56	4.96	4.95	4.94	4.7
36	134438	659768	Lisboa	So Vicente	38.71841	-9.1233	4	50	2	199	1.59	2	320	0	2	1	0.8	0	1.0	1.0	2	4.5	4.51	4.65	4.63	4.56	4.47
38	135261	663233	Lisboa	Misericrdia	38.71298	-9.14541	4	50	7	232	1.83	1	256	2	2	1	1.0	0	1.0	2.0	4	4.76	4.87	4.74	4.74	4.89	4.75
40	137054	656138	Lisboa	Santa Maria Maior	38.71236	-9.13129	4	50	2	217	1.76	2	357	30	1	1	1.0	1	1.0	1.0	3	4.78	4.66	4.97	4.97	4.95	4.66
43	138929	677938	Lisboa	Santa Maria Maior	38.71231	-9.12918	4	40	2	378	2.98	1	294	57	1	1	1.0	1	1.0	1.0	2	4.84	4.87	4.88	4.91	4.87	4.83
44	138999	678222	Lisboa	Santa Maria Maior	38.71064	-9.13278	4	90	4	110	0.88	1	0	3	1	1	1.0	0	1.5	1.0	4	4.76	4.72	4.81	4.71	4.94	4.74
45	140080	682628	Lisboa	Misericrdia	38.71308	-9.14514	4	132	2	29	0.24	8	283	1	3	1	1.0	0	2.0	5.0	12	4.07	4.14	4.75	4.83	4.72	4.17
48	144851	701650	Lisboa	Misericrdia	38.71261	-9.14456	4	90	2	89	0.71	10	235	12	1	1	0.95	0	1.0	1.0	4	4.72	4.77	4.78	4.92	4.88	4.71
50	147738	713828	Lisboa	So Vicente	38.7155	-9.13203	4	143	2	14	0.21	2	192	0	1	1	1.0	0	2.0	2.0	4	4.85	4.85	5.0	4.92	4.77	4.85
51	148344	716185	Sintra	Colares	38.78808	-9.45999	4	130	5	42	0.37	1	288	5	1	1	1.0	0	2.0	3.0	6	4.95	4.76	4.98	5.0	4.85	4.9
53	149589	721565	Lisboa	Santa Maria Maior	38.71331	-9.13314	4	64	1	151	1.25	3	241	25	1	1	1.0	1	1.0	1.0	3	4.87	4.96	4.97	4.99	4.84	4.8
54	151327	727771	Lisboa	Santa Maria Maior	38.71227	-9.12942	4	55	3	424	3.35	9	12	35	1	1	0.98	1	1.0	1.0	2	4.72	4.89	4.81	4.84	4.82	4.78
57	155865	749485	Lisboa	Alcntara	38.70546	-9.17579	4	65	2	148	1.17	1	359	8	1	1	1.0	1	1.0	2.0	6	4.75	4.74	4.79	4.86	4.55	4.72
58	158255	743285	Lisboa	Estrela	38.70994	-9.15442	4	250	31	2	0.02	1	357	0	2	1	1.0	0	2.0	2.0	4	5.0	5.0	5.0	5.0	5.0	5.0
61	172248	507901	Lisboa	Alvalade	38.74736	-9.13191	2	30	5	46	0.37	7	343	2	2	1	1.0	0	1.0	1.0	2	4.45	4.67	4.78	4.67	4.33	4.44
62	172638	823780	Lisboa	Santa Maria Maior	38.71043	-9.13087	4	79	2	409	3.24	2	253	21	1	1	1.0	1	1.0	1.0	2	4.93	4.89	4.93	4.98	4.93	4.86
66	178515	753902	Lisboa	Santa Maria Maior	38.71133	-9.13093	4	65	3	160	1.8	6	145	2	1	1	1.0	0	2.0	3.0	6	4.63	4.53	4.79	4.86	4.81	4.75
67	178524	753902	Lisboa	Santa Maria Maior	38.70916	-9.13222	4	85	3	263	2.1	6	294	14	1	1	1.0	0	3.0	3.0	6	4.64	4.55	4.85	4.82	4.84	4.75
70	186996	899179	Lisboa	Santa Maria Maior	38.71677	-9.13359	4	67	4	79	1.2	2	66	20	1	1	1.0	0	1.0	1.0	2	4.58	4.81	4.75	4.85	4.7	4.57
71	187442	901710	Lisboa	Santa Maria Maior	38.71095	-9.13192	4	74	2	425	3.45	2	357	37	1	1	1.0	1	1.0	2.0	4	4.85	4.93	4.92	4.96	4.92	4.79
75	198480	640147	Lisboa	Lumiar	38.77596	-9.15101	4	39	14	25	0.38	1	315	6	1	1	1.0	0	1.0	1.0	2	4.67	4.92	4.87	4.92	4.35	4.57
76	199461	914126	Lisboa	Santa Maria Maior	38.71095	-9.13673	4	105	2	110	0.91	16	307	19	2	1	1.0	1	2.0	2.0	5	4.94	4.97	4.93	4.93	4.97	4.88
77	208683	753902	Lisboa	Santa Maria Maior	38.71052	-9.13365	4	60	3	124	1.22	6	42	0	1	1	1.0	0	2.0	2.0	4	4.7	4.66	4.88	4.9	4.92	4.69
78	211614	758277	Cascais	Cascais e Estoril	38.71015	-9.40746	4	55	3	59	0.51	2	276	9	1	1	0.9	0	1.0	1.0	3	4.42	4.64	4.78	4.78	4.71	4.45
79	211616	1091599	Lisboa	Santa Maria Maior	38.71315	-9.12715	4	75	3	203	1.79	1	214	21	1	1	1.0	1	1.5	1.0	4	4.81	4.76	4.91	4.89	4.94	4.75
81	217187	1121762	Lisboa	Santa Maria Maior	38.71225	-9.12777	4	70	2	184	1.48	2	282	0	1	1	0.9	0	1.0	1.0	2	4.72	4.77	4.85	4.83	4.87	4.68
82	217281	1108485	Lisboa	Alvalade	38.74877	-9.1478	2	22	5	5	0.42	2	213	5	3	1	1.0	1	1.0	1.0	1	5.0	5.0	5.0	5.0	5.0	5.0
84	220830	763034	Mafra	Igreja Nova e Cheleiros	38.88991	-9.31029	4	60	2	29	0.27	5	344	8	1	1	1.0	0	1.0	2.0	2	4.45	4.34	4.69	4.72	4.59	4.41
85	220831	763034	Mafra	Igreja Nova e Cheleiros	38.89156	-9.31059	4	150	2	9	0.12	5	77	3	1	1	1.0	0	2.0	3.0	6	4.44	4.67	4.67	5.0	4.56	4.11
87	229846	624278	Lisboa	So Vicente	38.71478	-9.1241	4	45	3	149	1.28	4	309	2	1	1	1.0	1	1.0	1.0	3	4.39	4.3	4.49	4.62	4.72	4.34
88	231329	1171644	Cascais	Carcavelos e Parede	38.68727	-9.33687	4	35	3	110	1.08	1	284	9	3	0	1.0	1	1.0	1.0	3	4.73	4.72	4.89	4.96	4.81	4.74
90	231468	1210169	Sintra	S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim	38.80669	-9.397194	4	152	4	46	0.45	1	242	7	2	1	1.0	0	3.5	4.0	8	4.8	4.71	4.87	4.96	4.8	4.71
95	244494	1282676	Lisboa	Santa Maria Maior	38.71094	-9.13999	4	135	3	6	0.05	9	82	0	1	1	1.0	1	2.0	2.0	6	4.83	4.8	4.8	5.0	5.0	4.8
97	250288	647439	Lisboa	Santa Maria Maior	38.71379	-9.13521	4	50	7	422	3.44	2	240	16	1	1	0.95	0	1.0	1.0	2	4.67	4.75	4.77	4.8	4.81	4.71
98	250491	1312785	Lisboa	Arroios	38.71686	-9.14014	4	68	3	36	0.32	15	303	3	1	1	1.0	1	1.0	1.0	2	4.81	4.89	4.94	4.94	4.61	4.72
102	257480	152243043	Lisboa	So Vicente	38.71343	-9.12557	4	70	3	342	2.83	16	299	18	1	1	1.0	0	1.0	1.0	2	4.72	4.78	4.79	4.73	4.89	4.74
103	257560	1328660	Lisboa	Santa Maria Maior	38.71081	-9.12816	4	58	3	250	2.18	1	76	18	1	0	1.0	0	1.0	1.0	4	4.72	4.65	4.66	4.73	4.86	4.61
104	261733	1373142	Lisboa	Misericrdia	38.71165	-9.1463	4	60	3	326	2.73	1	285	10	2	0	1.0	1	1.0	2.0	4	4.69	4.74	4.91	4.92	4.73	4.71
107	263399	405842	Lisboa	Campolide	38.72729	-9.16317	4	70	28	24	0.21	6	131	3	1	1	1.0	0	1.0	3.0	6	4.28	4.4	4.7	4.7	3.95	4.4
111	271430	1416183	Lisboa	Santa Maria Maior	38.71291	-9.14234	4	119	2	105	0.94	13	312	16	2	1	1.0	1	1.0	2.0	4	4.83	4.82	4.94	4.94	4.92	4.67
112	272438	1416183	Lisboa	Santa Maria Maior	38.71291	-9.14234	4	88	3	75	0.66	13	314	5	2	1	1.0	1	1.0	1.0	4	4.76	4.82	4.95	4.93	4.92	4.64
114	276795	1445970	Lisboa	Misericrdia	38.71061	-9.14327	4	160	3	110	0.93	1	154	7	3	1	0.9	0	2.5	2.0	4	4.68	4.82	4.92	4.92	4.72	4.58
115	279549	1457564	Lisboa	Misericrdia	38.71001	-9.14374	4	155	3	231	1.99	2	327	17	2	1	1.0	1	3.0	3.0	7	4.91	4.96	4.94	4.93	4.92	4.9
116	281407	1466881	Lisboa	Santo Antnio	38.72621	-9.14318	4	150	3	3	0.05	7	359	1	2	1	0.96	0	3.0	3.0	10	3.67	4.67	3.67	3.67	4.67	3.67
118	286706	1466881	Lisboa	Santo Antnio	38.72486	-9.14329	4	120	3	9	0.1	7	365	0	2	1	0.96	0	1.0	1.0	6	4.22	4.63	4.5	4.22	4.25	3.78
120	291676	682628	Lisboa	Misericrdia	38.71308	-9.14514	4	110	2	8	0.07	8	311	0	3	1	1.0	0	2.0	3.0	8	4.5	4.5	4.75	4.88	4.88	4.75
122	299321	9416641	Lisboa	Santo Antnio	38.7213	-9.14437	4	63	3	563	4.71	3	220	19	1	1	1.0	0	1.0	1.0	2	4.88	4.82	4.94	4.97	4.86	4.82
123	301264	1552056	Lisboa	Arroios	38.72199	-9.14002	4	74	2	76	0.68	7	343	1	1	1	1.0	1	1.0	2.0	6	4.72	4.74	4.92	4.91	4.72	4.65
124	301871	1552056	Lisboa	Santo Antnio	38.72419	-9.1474	4	79	3	88	0.75	7	289	7	1	1	1.0	1	1.0	1.0	4	4.85	4.85	4.83	4.83	4.91	4.8
125	303692	1552056	Lisboa	Arroios	38.72138	-9.13945	4	69	1	120	1.07	7	297	3	1	1	1.0	1	1.0	2.0	6	4.68	4.75	4.85	4.87	4.53	4.61
126	304025	682628	Lisboa	Misericrdia	38.71308	-9.14514	4	120	2	19	0.17	8	318	0	3	1	1.0	0	1.0	3.0	7	4.16	4.33	4.5	4.59	4.44	4.11
127	306191	1574678	Lisboa	Misericrdia	38.71279	-9.14503	4	59	3	420	3.58	1	301	19	1	1	1.0	0	1.0	1.0	4	4.59	4.59	4.86	4.76	4.83	4.63
131	311040	1599678	Lisboa	Santa Maria Maior	38.71235	-9.1275	4	85	3	1	0.02	3	341	0	1	1	1.0	0	1.0	1.0	4	5.0	5.0	5.0	5.0	5.0	4.0
132	311047	1599678	Lisboa	Santa Maria Maior	38.71252	-9.12911	4	52	2	5	0.06	3	344	2	1	1	1.0	0	1.0	1.0	4	4.0	5.0	4.5	4.0	4.0	4.25
133	320603	1416183	Lisboa	Santa Maria Maior	38.71293	-9.14228	4	135	2	20	0.17	13	155	0	2	1	1.0	1	1.5	2.0	5	5.0	4.95	5.0	5.0	5.0	4.89
134	322250	1650383	Cascais	Cascais e Estoril	38.70492	-9.39986	4	100	4	122	1.31	2	175	21	1	1	1.0	0	1.0	2.0	5	4.69	4.73	4.89	4.85	4.85	4.68
135	322284	1650507	Lisboa	Santa Maria Maior	38.70989	-9.13637	4	89	3	270	2.29	1	153	37	1	1	1.0	1	1.5	2.0	6	4.79	4.82	4.86	4.88	4.96	4.75
136	324364	1659960	Lourinh	Lourinh e Atalaia	39.27423	-9.31898	4	400	3	6	0.06	38	23	0	3	1	0.89	0	4.0	5.0	16	5.0	5.0	5.0	4.8	4.8	4.6
139	333311	1695029	Lisboa	So Vicente	38.71633	-9.13107	4	55	3	349	2.95	5	239	2	1	1	1.0	1	1.0	1.0	3	4.78	4.82	4.98	4.97	4.67	4.81
140	335344	1707481	Lisboa	Misericrdia	38.71386	-9.14483	4	75	3	158	1.39	1	311	16	1	1	1.0	1	1.0	2.0	6	4.63	4.6	4.92	4.93	4.87	4.64
141	336832	701650	Lisboa	Santa Maria Maior	38.71248	-9.12961	4	80	2	164	1.43	10	140	22	1	1	0.95	0	1.0	2.0	6	4.5	4.43	4.68	4.79	4.91	4.53
145	349971	1466881	Lisboa	Santo Antnio	38.72659	-9.14522	4	200	3	5	0.07	7	123	0	2	1	0.96	0	2.0	5.0	12	4.8	5.0	5.0	5.0	5.0	5.0
146	349974	1466881	Lisboa	Santo Antnio	38.72488	-9.14511	4	150	3	5	0.04	7	358	0	2	1	0.96	0	3.0	3.0	10	4.5	4.6	4.4	4.0	3.6	3.6
147	349975	1466881	Lisboa	Santo Antnio	38.72541	-9.14519	4	75	3	5	0.12	7	338	1	2	1	0.96	0	1.0	2.0	4	4.0	4.8	4.6	4.8	4.6	4.0
148	351289	1779418	Lourinh	Reguengo Grande	39.28927	-9.21705	4	80	5	73	0.71	2	365	7	1	1	1.0	0	1.0	3.0	6	4.71	4.52	4.84	4.77	4.58	4.63
151	362562	405842	Lisboa	Campolide	38.727	-9.16478	4	60	4	14	0.14	6	208	1	1	1	1.0	0	2.0	2.0	4	4.58	4.42	4.42	4.25	4.08	4.42
153	369360	1593947	Lisboa	Santo Antnio	38.71665	-9.14627	2	30	6	185	1.56	11	194	4	3	1	0.6	0	1.0	1.0	2	4.82	4.59	4.76	4.86	4.94	4.79
156	393699	1593947	Lisboa	Santo Antnio	38.71724	-9.14755	2	30	6	149	1.26	11	190	1	3	1	0.6	0	1.0	1.0	2	4.61	4.48	4.69	4.78	4.94	4.66
157	393700	1593947	Lisboa	Santo Antnio	38.71693	-9.148	4	140	4	50	0.43	11	190	0	3	1	0.6	0	1.0	3.0	10	4.76	4.55	4.74	4.89	4.89	4.77
158	395874	1165468	Lisboa	Misericrdia	38.70691	-9.14846	4	45	3	175	1.51	1	264	6	1	1	1.0	0	1.0	1.0	2	4.66	4.64	4.84	4.91	4.88	4.65
160	403260	1654712	Lisboa	So Vicente	38.71337	-9.12548	4	89	5	107	0.95	6	220	0	1	1	1.0	0	1.0	2.0	6	4.63	4.5	4.84	4.86	4.87	4.6
161	403760	1654712	Lisboa	So Vicente	38.71337	-9.12548	4	79	5	145	1.24	6	262	1	1	1	1.0	0	1.0	1.0	4	4.74	4.72	4.81	4.79	4.87	4.72
162	405399	1788136	Lisboa	So Vicente	38.71904	-9.13269	4	98	2	193	1.93	4	346	8	1	1	0.93	0	1.0	2.0	4	4.39	4.53	4.45	4.43	4.82	4.47
164	416929	2073678	Lisboa	Arroios	38.7338	-9.133	2	21	1	456	4.0	2	280	26	2	1	0.97	1	1.0	1.0	2	4.59	4.59	4.8	4.77	4.65	4.74
168	424175	2108826	Cascais	Cascais e Estoril	38.70779	-9.39326	2	50	1	136	1.19	2	365	15	1	1	1.0	1	1.0	1.0	2	4.94	4.99	4.87	4.93	4.81	4.92
169	424664	815805	Cadaval	Cadaval e Pro Moniz	39.23805	-9.12181	4	65	3	74	0.66	3	323	12	1	1	1.0	0	1.0	2.0	5	4.72	4.81	4.85	4.86	4.63	4.71
171	428784	914126	Lisboa	Santa Maria Maior	38.71296	-9.1363	4	126	2	63	0.63	16	327	8	2	1	1.0	1	2.0	2.0	5	4.94	4.87	4.94	4.95	4.95	4.84
172	428785	914126	Lisboa	Santa Maria Maior	38.7129	-9.13817	4	109	2	144	1.39	16	348	8	2	1	1.0	1	2.0	2.0	5	4.85	4.9	4.9	4.93	4.94	4.8
173	429865	2136909	Sintra	Colares	38.80579	-9.4721	4	75	2	220	1.95	4	314	13	1	1	1.0	0	1.0	1.0	2	4.77	4.82	4.88	4.87	4.75	4.71
174	436190	2136909	Sintra	Colares	38.80601	-9.47216	4	75	2	143	1.42	4	308	9	1	1	1.0	0	1.0	1.0	2	4.69	4.8	4.91	4.91	4.72	4.67
175	438431	2101702	Lisboa	So Vicente	38.71359	-9.12974	4	60	4	373	3.24	13	69	20	1	1	1.0	0	1.0	1.0	4	4.44	4.43	4.67	4.62	4.67	4.49
176	439888	2068065	Lisboa	Misericrdia	38.71291	-9.14926	4	80	3	4	0.04	17	362	1	1	1	0.91	0	1.0	1.0	4	3.25	3.5	2.5	2.5	3.0	3.25
177	441671	2194932	Sintra	Colares	38.83733	-9.45994	4	560	5	3	0.07	1	332	0	4	1	0.0	0	4.0	6.0	12	4.67	4.33	5.0	5.0	4.67	5.0
178	444996	2211068	Lisboa	Misericrdia	38.71441	-9.14908	2	40	3	279	2.57	1	32	12	1	0	1.0	1	1.0	1.0	2	4.82	4.94	4.93	4.9	4.83	4.87
179	447832	2223892	Lisboa	Misericrdia	38.71109	-9.14715	4	67	3	595	5.09	1	219	44	1	1	1.0	1	1.0	1.0	2	4.98	4.97	4.98	4.98	4.93	4.89
180	449080	2229758	Lisboa	Santa Maria Maior	38.71579	-9.13382	4	33	2	187	1.6	12	343	37	1	1	1.0	0	1.0	1.0	3	4.3	4.24	4.78	4.75	4.59	4.36
181	449923	758277	Cascais	Cascais e Estoril	38.70916	-9.40665	4	55	3	46	0.4	2	342	5	1	1	0.9	0	1.0	1.0	3	4.6	4.72	4.79	4.88	4.63	4.5
182	451351	181902	Lisboa	Santa Maria Maior	38.70984	-9.13632	4	140	1	141	1.31	18	269	11	1	1	1.0	1	2.0	3.0	9	4.58	4.78	4.73	4.74	4.86	4.52
183	453093	2251214	Lourinh	Lourinh e Atalaia	39.2699	-9.33172	4	90	5	6	0.05	1	176	0	2	0	1.0	0	2.0	2.0	6	4.83	5.0	5.0	5.0	4.67	4.67
184	453233	2252054	Lisboa	Santa Maria Maior	38.71199	-9.12798	4	65	2	322	2.78	2	342	0	1	1	1.0	0	1.0	1.0	2	4.58	4.74	4.78	4.8	4.81	4.58
185	454217	2229758	Lisboa	Santa Maria Maior	38.71186	-9.12859	4	27	2	202	1.74	12	335	22	1	1	1.0	0	1.0	1.0	3	4.09	4.33	4.58	4.62	4.72	4.2
186	454267	2229758	Lisboa	So Vicente	38.7143	-9.13059	4	33	2	186	1.77	12	325	37	1	1	1.0	0	1.0	1.0	3	4.58	4.73	4.81	4.85	4.79	4.59
187	454298	2229758	Lisboa	Santa Maria Maior	38.71191	-9.12864	4	31	2	225	1.97	12	297	44	1	1	1.0	0	1.0	1.0	3	4.49	4.59	4.77	4.86	4.79	4.54
188	454306	2229758	Lisboa	Santa Maria Maior	38.71189	-9.12867	4	28	2	206	1.97	12	337	33	1	1	1.0	0	1.0	1.0	3	4.4	4.52	4.67	4.76	4.8	4.36
189	454328	2229758	Lisboa	Santa Maria Maior	38.71189	-9.12867	4	33	2	229	2.01	12	349	32	1	1	1.0	0	1.0	1.0	3	4.42	4.58	4.77	4.77	4.82	4.36
192	464021	2199291	Cascais	Cascais e Estoril	38.69792	-9.4225	2	40	2	42	0.36	1	238	1	1	0	1.0	0	1.0	1.0	1	4.9	4.85	4.98	4.98	4.9	4.76
193	472183	2341627	Lisboa	Belm	38.69735	-9.19489	4	69	7	115	1.02	4	146	0	2	1	1.0	0	1.0	1.0	4	4.72	4.74	4.97	4.99	4.5	4.6
195	473519	940404	Oeiras	Algs, Linda-a-Velha e Cruz Quebrada-Dafundo	38.7056	-9.23021	2	25	2	30	0.55	1	1	0	1	1	1.0	0	2.0	1.0	2	4.89	4.79	4.89	4.93	4.79	4.86
196	474818	2353669	Lisboa	Santa Maria Maior	38.71284	-9.13085	4	49	2	397	3.68	1	308	24	1	1	0.93	1	1.0	1.0	4	4.71	4.69	4.89	4.91	4.91	4.75
200	483897	2381723	Lisboa	Avenidas Novas	38.74524	-9.14776	4	40	2	206	1.81	2	106	7	2	1	1.0	1	1.0	2.0	5	4.87	4.86	4.96	4.97	4.7	4.83
202	486291	1725290	Lisboa	So Vicente	38.71354	-9.1291	4	50	2	311	2.75	1	222	1	3	1	0.5	0	1.0	2.0	6	4.52	4.54	4.78	4.8	4.79	4.59
203	487394	2412046	Lisboa	Santa Maria Maior	38.71259	-9.12912	4	45	5	320	2.78	1	111	16	1	0	1.0	1	1.0	1.0	2	4.83	4.94	4.9	4.95	4.83	4.87
204	487633	2412924	Lisboa	Santa Maria Maior	38.71376	-9.1364	4	58	3	371	3.24	1	262	24	2	1	1.0	1	1.0	1.0	2	4.91	4.95	4.98	4.98	4.92	4.88
205	488241	2396258	Lisboa	Santa Maria Maior	38.71252	-9.1245	4	141	2	36	0.37	15	350	3	1	1	1.0	0	1.0	2.0	5	4.89	4.78	4.94	5.0	4.92	4.69
206	488694	2396258	Lisboa	Santa Maria Maior	38.71276	-9.12469	4	141	2	48	0.41	15	272	3	1	1	1.0	0	1.0	2.0	4	4.94	4.94	4.92	4.96	4.9	4.79
207	489178	727771	Lisboa	Santa Maria Maior	38.71214	-9.12936	4	60	4	328	2.84	9	233	17	1	1	0.98	1	1.0	1.0	3	4.73	4.84	4.78	4.82	4.86	4.7
209	493274	2437170	Lisboa	So Vicente	38.72068	-9.13157	4	96	2	527	4.64	1	190	26	1	1	1.0	1	1.0	1.0	2	4.89	4.86	4.94	4.96	4.88	4.76
211	495237	2446180	Lisboa	So Vicente	38.7144	-9.12395	4	120	4	309	2.69	11	0	1	1	1	1.0	1	1.5	2.0	4	4.84	4.95	4.98	4.98	4.85	4.84
213	496725	2453228	Sintra	So Joo das Lampas e Terrugem	38.8475	-9.45225	4	55	3	130	1.51	4	153	14	3	1	1.0	1	1.0	2.0	4	4.78	4.36	4.9	4.94	4.91	4.62
214	496744	2453228	Sintra	So Joo das Lampas e Terrugem	38.84858	-9.45321	4	60	5	33	0.29	4	105	3	3	1	1.0	1	1.0	3.0	4	4.67	4.19	4.82	4.85	4.91	4.61
215	497424	2455881	Lisboa	Santa Maria Maior	38.71066	-9.12902	4	50	2	278	2.46	1	245	21	1	1	1.0	0	1.0	1.0	3	4.74	4.78	4.9	4.91	4.91	4.76
216	500107	780618	Lisboa	Misericrdia	38.71133	-9.14796	4	60	4	421	3.65	4	169	26	1	1	1.0	1	1.0	1.0	3	4.88	4.91	4.94	4.95	4.9	4.82
217	500840	1121762	Lisboa	Santa Maria Maior	38.7126	-9.12791	4	40	2	319	2.8	2	341	23	1	1	0.9	0	1.0	1.0	2	4.47	4.75	4.84	4.84	4.78	4.54
220	505847	914126	Lisboa	Santa Maria Maior	38.71091	-9.13784	4	120	2	72	0.68	16	311	9	2	1	1.0	1	2.0	2.0	5	4.89	4.9	4.91	4.93	4.97	4.75
221	506047	2494477	Lisboa	Misericrdia	38.71361	-9.14689	4	69	3	207	1.79	3	357	15	2	1	1.0	0	1.0	1.0	3	4.57	4.57	4.85	4.85	4.77	4.56
227	528892	763034	Mafra	Igreja Nova e Cheleiros	38.89013	-9.31186	4	60	2	44	0.41	5	223	0	1	1	1.0	0	1.0	1.0	2	4.59	4.3	4.68	4.73	4.82	4.55
228	531992	2613954	Sintra	Colares	38.793427	-9.456393	4	55	3	57	0.5	2	0	1	1	1	1.0	1	1.0	2.0	5	4.85	4.91	4.87	4.81	4.67	4.77
229	535226	2372087	Lisboa	Arroios	38.72735	-9.13494	4	173	3	25	0.22	58	310	0	1	1	1.0	1	2.0	4.0	12	4.25	4.48	4.83	4.92	4.33	4.17
231	537107	914126	Lisboa	Santa Maria Maior	38.71127	-9.13762	4	146	2	87	0.76	16	254	12	2	1	1.0	1	2.0	3.0	8	4.93	4.9	4.94	4.9	4.97	4.85
234	540190	1788136	Lisboa	So Vicente	38.71927	-9.13293	4	84	2	180	1.6	4	350	4	1	1	0.93	0	1.0	1.0	3	4.35	4.32	4.45	4.45	4.84	4.33
235	543049	1029524	Lisboa	Misericrdia	38.71033	-9.14651	4	75	3	247	2.2	17	342	27	1	1	1.0	0	1.0	3.0	7	4.51	4.57	4.79	4.86	4.81	4.59
236	543783	901710	Lisboa	Santa Maria Maior	38.71046	-9.13134	4	69	2	399	3.52	2	348	45	1	1	1.0	1	1.0	2.0	4	4.87	4.92	4.95	4.96	4.93	4.78
238	547502	2691427	Cascais	Cascais e Estoril	38.69392	-9.37232	4	80	4	85	0.84	1	127	4	2	1	1.0	1	2.0	2.0	5	4.89	4.92	4.99	5.0	4.79	4.84
240	551697	2711241	Sintra	Colares	38.8218	-9.4704	2	65	2	33	0.29	2	342	8	3	1	0.9	0	4.0	6.0	15	4.61	4.55	4.88	4.91	4.79	4.52
241	553492	2720064	Torres Vedras	S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces	39.10096	-9.28196	4	52	3	27	0.42	2	353	0	1	0	1.0	0	1.0	1.0	4	4.52	4.78	4.73	4.85	4.65	4.46
245	557764	2742343	Lisboa	Arroios	38.7162	-9.13928	4	70	2	152	1.35	2	215	1	1	0	1.0	0	1.0	1.0	4	4.78	4.56	4.89	4.9	4.82	4.72
