	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	host_response_time	host_identity_verified	host_response_rate	host_is_superhost	nr_of_bathrooms	bedrooms	accommodates	review_scores_rating	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value
9575	26840748	201851103	Torres Vedras	A dos Cunhados e Maceira	39.14885	-9.37068	4	88	6	26	0.64	3	179	7	2	1	1.0	0	1.5	3.0	6	4.62	4.54	4.77	4.81	4.85	4.38
9576	26840843	195599033	Lisboa	Misericrdia	38.71232	-9.14619	4	126	3	71	1.74	1	339	14	1	1	1.0	1	2.0	2.0	4	4.87	4.96	4.86	4.89	4.87	4.73
9577	26841568	197000460	Amadora	Mina de gua	38.76108	-9.23549	1	13	1	9	0.22	4	1	1	1	1	1.0	1	1.0	1.0	2	4.67	5.0	4.89	4.89	4.33	4.89
9578	26844351	192473183	Lisboa	Estrela	38.70479	-9.16655	4	55	1	83	2.03	12	324	2	2	1	1.0	0	1.0	1.0	4	4.77	4.84	4.78	4.88	4.6	4.75
9580	26845661	201893660	Oeiras	Algs, Linda-a-Velha e Cruz Quebrada-Dafundo	38.70949	-9.24601	2	20	1	32	0.78	1	0	0	3	0	1.0	0	1.0	1.0	2	5.0	5.0	5.0	5.0	4.28	4.97
9583	26861641	3327663	Mafra	Ericeira	38.9609	-9.41606	4	100	5	22	0.54	22	364	13	2	1	1.0	0	2.0	2.0	4	4.82	5.0	5.0	4.75	5.0	5.0
9587	26871759	202104749	Mafra	Ericeira	38.96133	-9.4164	4	120	3	1	0.26	1	362	1	3	0	1.0	0	1.0	2.0	4	5.0	5.0	5.0	5.0	5.0	5.0
9588	26879345	5863476	Lisboa	Estrela	38.71129	-9.15605	4	100	3	9	0.22	5	330	6	1	1	1.0	0	1.0	1.0	4	4.78	4.89	4.89	4.78	4.89	4.56
9589	26879832	89598266	Sintra	S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim	38.79319	-9.37597	4	76	2	97	2.51	1	356	35	1	1	1.0	1	1.0	1.0	3	4.94	5.0	4.96	5.0	4.96	4.91
9590	26881148	38216660	Sintra	Colares	38.81378	-9.46015	4	25	4	19	0.48	2	321	1	1	1	1.0	1	1.0	1.0	3	4.79	3.95	4.79	4.89	4.79	4.74
